City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
520,cochrane,51.1834,-114.4687,274.73,44,100,8.75,CA,1676823837
521,waipawa,-41.4122,175.5153,286.02,91,25,1.81,NZ,1676823837
522,timmins,48.4669,-81.3331,272.05,80,100,6.17,CA,1676823837
523,lerwick,60.1545,-1.1494,281.15,94,100,12.17,GB,1676823838
524,whitehorse,60.7161,-135.0538,267.09,88,100,3.6,CA,1676823737
525,kupang,-10.1667,123.5833,298.47,100,20,0.51,ID,1676823838
526,padang,-0.9492,100.3543,298.18,88,99,1.84,ID,1676823838
527,la rioja,42.25,-2.5,287.03,37,14,2.08,ES,1676823839
528,bubaque,11.2833,-15.8333,296.63,71,32,4.8,GW,1676823840
529,treinta y tres,-33.2333,-54.3833,299.07,19,67,3.92,UY,1676823840
530,qaqortoq,60.7167,-46.0333,266.72,70,100,3.18,GL,1676823840
531,minot,48.2325,-101.2963,264.27,79,100,2.57,US,1676823827
532,ocean city,39.2776,-74.5746,282.69,73,99,2.68,US,1676823841
533,coihaique,-45.5752,-72.0662,288.49,38,40,3.09,CL,1676823599
534,jerez,14.1,-89.75,300.4,44,0,5.14,GT,1676823841
535,mudu,31.252,120.5118,277.73,60,51,3.24,CN,1676823842
536,hovd,48.0056,91.6419,258.04,86,100,0.07,MN,1676823842
537,zhigansk,66.7697,123.3711,235.91,100,50,3.96,RU,1676823843
538,varberg,57.1056,12.2508,280.6,89,96,10.75,SE,1676823844
539,murgab,37.4966,61.9714,284.08,71,0,2.06,TM,1676823845
540,bahia blanca,-38.7196,-62.2724,300.44,26,0,12.35,AR,1676823609
541,airai,-8.9266,125.4092,289.18,93,97,0.62,TL,1676823848
542,mahina,-17.5065,-149.489,297.02,83,20,0.51,PF,1676823849
543,gornozavodsk,58.3758,58.3211,254.93,98,95,2.04,RU,1676823854
544,prieska,-29.6641,22.7474,305.6,13,3,10.91,ZA,1676823855
545,kloulklubed,7.0419,134.2556,297.43,75,68,7.43,PW,1676823856
546,mocuba,-16.8392,36.9856,300.34,78,69,1.48,MZ,1676823856
547,ornskoldsvik,63.2909,18.7153,273.68,86,100,2.06,SE,1676823857
548,camacupa,-12.0167,17.4833,294.28,77,96,3.2,AO,1676823858
549,porbandar,21.6422,69.6093,298.37,50,15,4.34,IN,1676823858
550,svetlyy,54.675,20.1347,276.18,61,2,8.21,RU,1676823858
551,nador,35.174,-2.9287,291.19,88,40,2.57,MA,1676823861
552,santos reyes nopala,16.1092,-97.1561,299.8,32,0,0.91,MX,1676823862
553,grand-santi,4.25,-54.3833,297.55,92,100,1.76,GF,1676823862
554,kismayo,-0.3582,42.5454,298.24,81,89,8.16,SO,1676823864
555,port macquarie,-31.4333,152.9167,291.98,84,80,3.6,AU,1676823864
556,cancun,21.1743,-86.8466,299.11,78,75,3.6,MX,1676823150
557,bolekhiv,49.0661,23.8643,274.62,99,100,4.25,UA,1676823865
558,vestmannaeyjar,63.4427,-20.2734,276.7,93,100,25.72,IS,1676823865
559,tazmalt,36.3868,4.3989,293.56,31,74,1.27,DZ,1676823866
560,lodja,-3.4833,23.4333,301.94,51,99,1.18,CD,1676823866
561,shwebo,22.5667,95.7,297.34,35,0,1.46,MM,1676823867
562,ifanadiana,-21.3,47.6333,295.16,93,31,0.67,MG,1676823867
563,saint-augustin,51.226,-58.6502,265.62,70,33,3.81,CA,1676823868
564,inirida,3.8653,-67.9239,305.71,43,17,1.13,CO,1676823868
565,bara,10.3744,10.7288,305.03,12,1,5.39,NG,1676823869
566,halmstad,56.6745,12.8568,278.72,81,100,7.72,SE,1676823869
567,touros,-5.1989,-35.4608,303.39,59,100,5.76,BR,1676823870
568,nouadhibou,20.931,-17.0347,296.14,56,43,6.69,MR,1676823870
569,baryshivka,50.361,31.3217,275.2,77,100,3.74,UA,1676823871
570,dunedin,-45.8742,170.5036,288.6,81,84,1.79,NZ,1676823829
571,playas,-2.6333,-80.3833,300.88,71,70,3.53,EC,1676823872
572,okhansk,57.7186,55.3877,252.62,100,75,1.3,RU,1676823873
573,lorica,9.2365,-75.8135,305.14,38,39,3.01,CO,1676823874
574,severnoye,56.3491,78.3619,254.71,98,53,3.32,RU,1676823874
575,fort-shevchenko,44.5086,50.263,277.56,88,100,4.55,KZ,1676823875
576,grong,64.4654,12.3149,273.75,88,100,5.46,NO,1676823876
577,coahuayana,18.7333,-103.6833,303.5,32,1,0.8,MX,1676823876
578,rimavska sobota,48.3828,20.0224,280.95,76,77,4.85,SK,1676823877
579,lisakovsk,52.5369,62.4936,260.9,98,99,2.82,KZ,1676823877
